Datetime,Tweet Id,Text,Source,Likes,RT
2022-10-04 03:23:28,1577137299858391040,RT @dialoglukaku: Buat temen-temen boleh bantu retweet ini untuk kronologi jelasnya. Semalem temenku bener-bener ada di lokasi kejadian dan…,Twitter for Android,0,2302
2022-10-04 03:23:26,1577137290735861763,"RT @NarasiNewsroom: Mon maap, syp yg bahagia y pack klo bleh tw???

Ente kadang-kadang ente 😒😒😒

#PrayForKanjuruhan | Narasi Daily https://…",Twitter for Android,0,5696
2022-10-04 03:23:26,1577137288395358209,"RT @GOAL_ID: 𝗥𝗲𝘀𝗽𝗲𝗰𝘁 @realmadriden @osasuna_en 🇮🇩🇪🇸

#PrayForKanjuruhan #KanjuruhanDisaster https://t.co/e8H6aHQLK9",Twitter for Android,0,47
2022-10-04 03:23:25,1577137287741046784,"RT @sulaimaneffendi: Dari Surabaya untuk Malang
Apa yang dirasakan Aremania juga dirasakan Bonek !

Semoga menjadi awal kebaikan buat semua…",Twitter for iPhone,0,244
2022-10-04 03:23:25,1577137286348611587,"RT @GOAL_ID: 𝗥𝗲𝘀𝗽𝗲𝗰𝘁 @realmadriden @osasuna_en 🇮🇩🇪🇸

#PrayForKanjuruhan #KanjuruhanDisaster https://t.co/e8H6aHQLK9",Twitter for Android,0,47
2022-10-04 03:23:24,1577137280372060160,"RT @CoachJustinL: Ga ada gunanya cari kesalahan ini itu, lebih baik cr solusi agar tidak akan terulang lagi, never and never again. Don't l…",Twitter for Android,0,170
2022-10-04 03:23:23,1577137279608332290,"Rest In Peace🥀🎗️Kejadian Kelam sejarah sepak bola
1 Oktober 2022
#malangdisaster
#PrayForKanjuruhan",Twitter for Android,0,0
2022-10-04 03:23:23,1577137278459478017,"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…",Twitter for Android,0,1290
2022-10-04 03:23:21,1577137269885915136,"RT @Amar_0599: Sekolah hukum 4 tahun aja kadang belum tentu paham hukum, kok bisa pendidikan berapa bulan aja dah jadi penegak hukum. 
Akib…",Twitter for Android,0,826
2022-10-04 03:23:19,1577137263133175808,"RT @IbnoeAhmad4: Tragedi Kanjuruhan yg dilakukan oleh TNI-AD baret hijau,,...akhirnya harus meregang nyawa,tanpa ada belas kasihan dari san…",Twitter for Android,0,9319
2022-10-04 03:23:15,1577137245488050177,"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…",Twitter for iPhone,0,3434
2022-10-04 03:23:15,1577137243265052672,"RT @sulaimaneffendi: Dari Surabaya untuk Malang
Apa yang dirasakan Aremania juga dirasakan Bonek !

Semoga menjadi awal kebaikan buat semua…",Twitter for Android,0,244
2022-10-04 03:23:13,1577137236143116288,"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…",Twitter for Android,0,3434
2022-10-04 03:23:11,1577137226072276994,"RT @abahgembos87: KALIAN SEMUA PEMBUNUH 
#KanjuruhanDisaster #PrayForKanjuruhan #aremania https://t.co/z4Xgu5kdCL",Twitter for iPhone,0,3903
2022-10-04 03:23:11,1577137226009698305,"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…",Twitter for Android,0,1290
2022-10-04 03:23:09,1577137221022683136,"#programbunuhpribumiradikal
#UsutTuntas 230 tewas.
Gas Air Mata Cakrabirawa #G01OPKI Pembantaian Aremania… https://t.co/BwboeJFGFs",Twitter for Android,0,0
2022-10-04 03:23:05,1577137204316422144,RT @ringkassan: from bandung with love @AremafcOfficial #PrayForKanjuruhan 🥀 https://t.co/nIs6i5ZQsv,Twitter for Android,0,30
