;Datetime;Tweet Id;Text;Source;Likes;RT;cleanText;tokens;final_tokens;step02
0;2022-10-04 03:23:28;1.577137299858391e+18;RT @dialoglukaku: Buat temen-temen boleh bantu retweet ini untuk kronologi jelasnya. Semalem temenku bener-bener ada di lokasi kejadian dan…;Twitter for Android;0.0;2302.0;dialoglukaku buat temen temen boleh bantu retweet ini untuk kronologi jelasnya semalem temenku bener bener ada di lokasi kejadian dan;['dialoglukaku', 'buat', 'temen', 'temen', 'boleh', 'bantu', 'retweet', 'ini', 'untuk', 'kronologi', 'jelasnya', 'semalem', 'temenku', 'bener', 'bener', 'ada', 'di', 'lokasi', 'kejadian', 'dan'];['dialoglukaku', 'buat', 'temen', 'temen', 'boleh', 'bantu', 'retweet', 'ini', 'untuk', 'kronologi', 'jelasnya', 'semalem', 'temenku', 'bener', 'bener', 'ada', 'di', 'lokasi', 'kejadian', 'dan'];dialoglukaku buat temen temen boleh bantu retweet ini untuk kronologi jelasnya semalem temenku bener bener ada di lokasi kejadian dan
1;2022-10-04 03:23:26;1.5771372907358618e+18;"RT @NarasiNewsroom: Mon maap, syp yg bahagia y pack klo bleh tw???

Ente kadang-kadang ente 😒😒😒

#PrayForKanjuruhan | Narasi Daily https://…";Twitter for Android;0.0;5696.0;narasinewsroom mon maap syp yg bahagia pack klo bleh tw ente kadang kadang ente narasi daily;['narasinewsroom', 'mon', 'maap', 'syp', 'yg', 'bahagia', 'pack', 'klo', 'bleh', 'tw', 'ente', 'kadang', 'kadang', 'ente', 'narasi', 'daily'];['narasinewsroom', 'mon', 'maap', 'syp', 'yg', 'bahagia', 'pack', 'klo', 'bleh', 'tw', 'ente', 'kadang', 'kadang', 'ente', 'narasi', 'daily'];narasinewsroom mon maap syp yg bahagia pack klo bleh tw ente kadang kadang ente narasi daily
2;2022-10-04 03:23:26;1.5771372883953582e+18;"RT @GOAL_ID: 𝗥𝗲𝘀𝗽𝗲𝗰𝘁 @realmadriden @osasuna_en 🇮🇩🇪🇸

#PrayForKanjuruhan #KanjuruhanDisaster https://t.co/e8H6aHQLK9";Twitter for Android;0.0;47.0;goal_id realmadriden osasuna_en coehahqlk;['goal_id', 'realmadriden', 'osasuna_en', 'coehahqlk'];['goal_id', 'realmadriden', 'osasuna_en', 'coehahqlk'];goal_id realmadriden osasuna_en coehahqlk
3;2022-10-04 03:23:25;1.5771372877410468e+18;"RT @sulaimaneffendi: Dari Surabaya untuk Malang
Apa yang dirasakan Aremania juga dirasakan Bonek !

Semoga menjadi awal kebaikan buat semua…";Twitter for iPhone;0.0;244.0;sulaimaneffendi dari surabaya untuk malang apa yang dirasakan aremania juga dirasakan bonek semoga menjadi awal kebaikan buat semua;['sulaimaneffendi', 'dari', 'surabaya', 'untuk', 'malang', 'apa', 'yang', 'dirasakan', 'aremania', 'juga', 'dirasakan', 'bonek', 'semoga', 'menjadi', 'awal', 'kebaikan', 'buat', 'semua'];['sulaimaneffendi', 'dari', 'surabaya', 'untuk', 'malang', 'apa', 'yang', 'dirasakan', 'aremania', 'juga', 'dirasakan', 'bonek', 'semoga', 'menjadi', 'awal', 'kebaikan', 'buat', 'semua'];sulaimaneffendi dari surabaya untuk malang apa yang dirasakan aremania juga dirasakan bonek semoga menjadi awal kebaikan buat semua
4;2022-10-04 03:23:25;1.5771372863486116e+18;"RT @GOAL_ID: 𝗥𝗲𝘀𝗽𝗲𝗰𝘁 @realmadriden @osasuna_en 🇮🇩🇪🇸

#PrayForKanjuruhan #KanjuruhanDisaster https://t.co/e8H6aHQLK9";Twitter for Android;0.0;47.0;goal_id realmadriden osasuna_en coehahqlk;['goal_id', 'realmadriden', 'osasuna_en', 'coehahqlk'];['goal_id', 'realmadriden', 'osasuna_en', 'coehahqlk'];goal_id realmadriden osasuna_en coehahqlk
5;2022-10-04 03:23:24;1.5771372803720602e+18;RT @CoachJustinL: Ga ada gunanya cari kesalahan ini itu, lebih baik cr solusi agar tidak akan terulang lagi, never and never again. Don't l…;Twitter for Android;0.0;170.0;coachjustinl ga ada gunanya cari kesalahan ini itu lebih baik cr solusi agar tidak akan terulang lagi never and never again don;['coachjustinl', 'ga', 'ada', 'gunanya', 'cari', 'kesalahan', 'ini', 'itu', 'lebih', 'baik', 'cr', 'solusi', 'agar', 'tidak', 'akan', 'terulang', 'lagi', 'never', 'and', 'never', 'again', 'don'];['coachjustinl', 'ga', 'ada', 'gunanya', 'cari', 'kesalahan', 'ini', 'itu', 'lebih', 'baik', 'cr', 'solusi', 'agar', 'tidak', 'akan', 'terulang', 'lagi', 'never', 'and', 'never', 'again', 'don'];coachjustinl ga ada gunanya cari kesalahan ini itu lebih baik cr solusi agar tidak akan terulang lagi never and never again don
6;2022-10-04 03:23:23;1.5771372796083323e+18;"Rest In Peace🥀🎗️Kejadian Kelam sejarah sepak bola
1 Oktober 2022
#malangdisaster
#PrayForKanjuruhan";Twitter for Android;0.0;0.0;rest in peace kejadian kelam sejarah sepak bola   oktober  ;['rest', 'in', 'peace', 'kejadian', 'kelam', 'sejarah', 'sepak', 'bola', 'oktober'];['rest', 'in', 'peace', 'kejadian', 'kelam', 'sejarah', 'sepak', 'bola', 'oktober'];rest in peace kejadian kelam sejarah sepak bola oktober
7;2022-10-04 03:23:23;1.577137278459478e+18;"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…";Twitter for Android;0.0;1290.0;psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu;['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu
8;2022-10-04 03:23:21;1.5771372698859151e+18;"RT @Amar_0599: Sekolah hukum 4 tahun aja kadang belum tentu paham hukum, kok bisa pendidikan berapa bulan aja dah jadi penegak hukum. 
Akib…";Twitter for Android;0.0;826.0;amar_ sekolah hukum   tahun aja kadang belum tentu paham hukum kok bisa pendidikan berapa bulan aja dah jadi penegak hukum akib;['amar_', 'sekolah', 'hukum', 'tahun', 'aja', 'kadang', 'belum', 'tentu', 'paham', 'hukum', 'kok', 'bisa', 'pendidikan', 'berapa', 'bulan', 'aja', 'dah', 'jadi', 'penegak', 'hukum', 'akib'];['amar_', 'sekolah', 'hukum', 'tahun', 'aja', 'kadang', 'belum', 'tentu', 'paham', 'hukum', 'kok', 'bisa', 'pendidikan', 'berapa', 'bulan', 'aja', 'dah', 'jadi', 'penegak', 'hukum', 'akib'];amar_ sekolah hukum tahun aja kadang belum tentu paham hukum kok bisa pendidikan berapa bulan aja dah jadi penegak hukum akib
9;2022-10-04 03:23:19;1.5771372631331758e+18;RT @IbnoeAhmad4: Tragedi Kanjuruhan yg dilakukan oleh TNI-AD baret hijau,,...akhirnya harus meregang nyawa,tanpa ada belas kasihan dari san…;Twitter for Android;0.0;9319.0;ibnoeahmad tragedi kanjuruhan yg dilakukan oleh tni ad baret hijau akhirnya harus meregang nyawa tanpa ada belas kasihan dari san;['ibnoeahmad', 'tragedi', 'kanjuruhan', 'yg', 'dilakukan', 'oleh', 'tni', 'ad', 'baret', 'hijau', 'akhirnya', 'harus', 'meregang', 'nyawa', 'tanpa', 'ada', 'belas', 'kasihan', 'dari', 'san'];['ibnoeahmad', 'tragedi', 'kanjuruhan', 'yg', 'dilakukan', 'oleh', 'tni', 'ad', 'baret', 'hijau', 'akhirnya', 'harus', 'meregang', 'nyawa', 'tanpa', 'ada', 'belas', 'kasihan', 'dari', 'san'];ibnoeahmad tragedi kanjuruhan yg dilakukan oleh tni ad baret hijau akhirnya harus meregang nyawa tanpa ada belas kasihan dari san
10;2022-10-04 03:23:15;1.5771372454880502e+18;"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…";Twitter for iPhone;0.0;3434.0;bts_ahc_idn mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak hai army;['bts_ahc_idn', 'mari', 'sejenak', 'kita', 'panjatkan', 'doa', 'untuk', 'korban', 'dan', 'pihak', 'yang', 'terdampak', 'hai', 'army'];['bts_ahc_idn', 'mari', 'sejenak', 'kita', 'panjatkan', 'doa', 'untuk', 'korban', 'dan', 'pihak', 'yang', 'terdampak', 'hai', 'army'];bts_ahc_idn mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak hai army
